date_utc,cik,company,ticker,stage,form,tier_reasons,adsh,pushed
2026-07-14T06:08:07Z,0002004711,Bending Spoons S.p.A.,BSP,listed,8-A12B,amount,,False
2026-07-14T06:08:07Z,0002120882,SK hynix Inc.,SKHY,listed,8-A12B,home_mktcap,,False
2026-07-14T06:08:07Z,0002080126,"Forgent Power Solutions, Inc.",FPS,priced,424B4,amount,,False
2026-07-14T06:08:07Z,0001181412,SPACE EXPLORATION TECHNOLOGIES CORP,SPCX,priced,424B4,watchlist,,False
2026-07-14T06:08:07Z,0002105398,"Csquare, Inc.",CSQR,filed,S-1/A,amount,,False
2026-07-14T06:08:07Z,0002095096,Einride AB,ENRD,filed,F-1,amount,,False
