cik,company,ticker,first_trade_date,d1_pct,d5_pct,d20_pct,vs_qqq_d20_pct,alert_lead_days,alert_quality,updated
0002004711,Bending Spoons S.p.A.,BSP,2026-07-01,-11.284,-15.259,,,-13,late,2026-07-21T04:30:06Z
0002080126,"Forgent Power Solutions, Inc.",FPS,2026-02-05,16.414,9.414,9.138,8.682,-159,missed,2026-07-21T04:30:06Z
0002120882,SK hynix Inc.,SKHY,2026-07-10,-9.321,-8.321,,,-4,late,2026-07-21T04:30:06Z
0001181412,SPACE EXPLORATION TECHNOLOGIES CORP,SPCX,2026-06-12,19.602,-3.945,-15.452,-15.333,-32,missed,2026-07-21T04:30:06Z
