report_date,market,source,noncomm_net,noncomm_net_pct_oi,lev_funds_net,open_interest,usable_from
2004-01-06,sp500,legacy,-22148,-5.3367,,415010,2004-01-12
2004-01-13,nasdaq100,legacy,31626,16.4695,,192028,2004-01-20
2004-01-13,sp500,legacy,-61543,-12.3634,,497785,2004-01-20
2004-01-20,nasdaq100,legacy,38436,19.0402,,201868,2004-01-26
2004-01-20,sp500,legacy,-56819,-10.4752,,542414,2004-01-26
2004-01-27,nasdaq100,legacy,47078,20.5409,,229191,2004-02-02
2004-01-27,sp500,legacy,-50477,-8.9743,,562460,2004-02-02
2004-02-03,nasdaq100,legacy,28040,11.1805,,250794,2004-02-09
2004-02-03,sp500,legacy,-12294,-2.2319,,550820,2004-02-09
2004-02-10,nasdaq100,legacy,17212,6.5982,,260859,2004-02-17
2004-02-10,sp500,legacy,6977,1.2801,,545037,2004-02-17
2004-02-17,nasdaq100,legacy,26067,10.1347,,257206,2004-02-23
2004-02-17,sp500,legacy,-4233,-0.7183,,589336,2004-02-23
2004-02-24,nasdaq100,legacy,31089,12.8193,,242518,2004-03-01
2004-02-24,sp500,legacy,460,0.0766,,600774,2004-03-01
2004-03-02,nasdaq100,legacy,25976,10.3853,,250123,2004-03-08
2004-03-02,sp500,legacy,-1632,-0.2634,,619596,2004-03-08
2004-03-09,nasdaq100,legacy,18789,6.3215,,297222,2004-03-15
2004-03-09,sp500,legacy,-5020,-0.6858,,732001,2004-03-15
2004-03-16,nasdaq100,legacy,9698,2.7061,,358382,2004-03-22
2004-03-16,sp500,legacy,5987,0.6775,,883625,2004-03-22
2004-03-23,nasdaq100,legacy,-7704,-4.5408,,169660,2004-03-29
2004-03-23,sp500,legacy,-46386,-9.7413,,476180,2004-03-29
2004-03-30,nasdaq100,legacy,-2104,-1.2159,,173040,2004-04-05
2004-03-30,sp500,legacy,-23639,-5.0718,,466090,2004-04-05
2004-04-06,nasdaq100,legacy,23314,10.1,,230832,2004-04-13
2004-04-06,sp500,legacy,-44544,-8.9124,,499796,2004-04-13
2004-04-12,nasdaq100,legacy,40806,16.8235,,242554,2004-04-16
2004-04-12,sp500,legacy,-40925,-7.8966,,518263,2004-04-16
