date,candidate_id,key,family,verdict,p,recent_p
2026-06-23,reb_018df927fb,p1_h5_sp500,rebound,dead,0.273,0.6
2026-06-23,reb_0b54f655e4,p10_h1_nasdaq,rebound,faded,0.0,0.418
2026-06-23,reb_183bf3c31c,p5_h1_sp500,rebound,dead,0.882,0.239
2026-06-23,reb_2617209d72,p10_h5_nasdaq,rebound,faded,0.001,0.266
2026-06-23,reb_2b218993db,p1_h5_nasdaq,rebound,dead,0.54,0.904
2026-06-23,reb_7155c924ca,p10_h1_sp500,rebound,dead,0.248,0.086
2026-06-23,reb_7e3e4a8d62,p1_h1_sp500,rebound,dead,0.263,0.542
2026-06-23,reb_8055fe6f4a,p1_h1_nasdaq,rebound,dead,0.218,0.506
2026-06-23,reb_91f1615526,p10_h5_sp500,rebound,dead,0.026,0.714
2026-06-23,reb_9adb2feef5,p5_h1_nasdaq,rebound,faded,0.001,0.102
2026-06-23,reb_b016e921c3,p5_h5_sp500,rebound,dead,0.353,0.657
2026-06-23,reb_b61bcf84d2,p5_h5_nasdaq,rebound,dead,0.036,0.068
2026-06-24,cal_11bf800cae,world_cup_year_nasdaq,calendar,faded,0.002997,0.118881
2026-06-24,cal_146a3e8961,dow_nasdaq,calendar,faded,0.000999,0.631369
2026-06-24,cal_2a991b85ee,sell_in_may_nasdaq,calendar,dead,0.033966,0.496503
2026-06-24,cal_2e5f17d421,month_nasdaq,calendar,inconclusive,0.311688,0.615385
2026-06-24,cal_6a08a2ccb6,pre_holiday_nasdaq,calendar,dead,0.120879,0.171828
2026-06-24,cal_7114c0729a,month_sp500,calendar,inconclusive,0.016983,0.136863
2026-06-24,cal_79870937ed,world_cup_year_sp500,calendar,dead,0.010989,0.16983
2026-06-24,cal_82e1f1d8c9,pre_holiday_sp500,calendar,dead,0.061938,0.143856
2026-06-24,cal_85cc7cc6d7,dow_sp500,calendar,faded,0.000999,0.853147
2026-06-24,cal_8d5125126b,term_year3_sp500,calendar,inconclusive,0.04995,
2026-06-24,cal_8fe611a742,santa_nasdaq,calendar,faded,0.005994,0.220779
2026-06-24,cal_94c08fa012,santa_sp500,calendar,faded,0.001998,0.196803
2026-06-24,cal_bbcc723bdf,decade_digit_sp500,calendar,inconclusive,0.163836,
2026-06-24,cal_bc77212229,sell_in_may_sp500,calendar,dead,0.073926,0.242757
2026-06-24,cal_ec09c00a99,presidential_cycle_sp500,calendar,inconclusive,0.300699,
2026-06-24,fac_4beec74249,BTC_mom20_neg,factor,survive,0.005,0.005
2026-06-24,fac_70486895ee,dxy_rising,factor,dead,0.492,0.998
2026-06-24,fac_7578b1d58f,vix_backwardation,factor,dead,0.832,0.694
2026-06-24,fac_778b84a969,NASDAQ_mom20_neg,factor,dead,0.047,0.469
2026-06-24,fac_79cf4a9a7b,NASDAQ_above_ma200,factor,dead,0.007,0.068
2026-06-24,fac_a1bf6a105c,nasdaq_rsi_overbought,factor,dead,0.28,0.458
2026-06-24,fac_ab89704768,nasdaq_high_vol,factor,faded,0.005,0.989
2026-06-24,fac_bed960d3e2,NASDAQ_mom20_pos,factor,dead,0.437,0.729
2026-06-24,fac_c872e5eb69,BTC_above_ma200,factor,dead,0.179,0.137
2026-06-24,fac_cc60102eac,dxy_falling,factor,dead,0.729,0.725
2026-06-24,fac_d738a0c3fd,nasdaq_low_vol,factor,dead,0.283,0.564
2026-06-24,fac_d8a4f38258,overnight_mom_neg,factor,dead,0.271,0.357
2026-06-24,fac_dcbd9f57b5,overnight_mom_pos,factor,dead,0.271,0.357
2026-06-24,fac_e2be6309e8,nasdaq_rsi_oversold,factor,dead,0.513,0.342
2026-06-24,fac_f834dcf2c0,BTC_mom20_pos,factor,survive,0.0,0.005
2026-06-24,reb_018df927fb,p1_h5_sp500,rebound,dead,0.273,0.6
2026-06-24,reb_0b54f655e4,p10_h1_nasdaq,rebound,faded,0.0,0.418
2026-06-24,reb_183bf3c31c,p5_h1_sp500,rebound,dead,0.882,0.239
2026-06-24,reb_2617209d72,p10_h5_nasdaq,rebound,faded,0.001,0.266
2026-06-24,reb_2b218993db,p1_h5_nasdaq,rebound,dead,0.54,0.904
2026-06-24,reb_7155c924ca,p10_h1_sp500,rebound,dead,0.248,0.086
2026-06-24,reb_7e3e4a8d62,p1_h1_sp500,rebound,dead,0.263,0.542
2026-06-24,reb_8055fe6f4a,p1_h1_nasdaq,rebound,dead,0.218,0.506
2026-06-24,reb_91f1615526,p10_h5_sp500,rebound,dead,0.026,0.714
2026-06-24,reb_9adb2feef5,p5_h1_nasdaq,rebound,faded,0.001,0.102
2026-06-24,reb_b016e921c3,p5_h5_sp500,rebound,dead,0.353,0.657
2026-06-24,reb_b61bcf84d2,p5_h5_nasdaq,rebound,dead,0.036,0.068
2026-06-26,cal_11bf800cae,world_cup_year_nasdaq,calendar,faded,0.003996,0.124875
2026-06-26,cal_146a3e8961,dow_nasdaq,calendar,faded,0.000999,0.62038
2026-06-26,cal_2a991b85ee,sell_in_may_nasdaq,calendar,dead,0.036963,0.496503
2026-06-26,cal_2e5f17d421,month_nasdaq,calendar,inconclusive,0.312687,0.613387
2026-06-26,cal_6a08a2ccb6,pre_holiday_nasdaq,calendar,dead,0.143856,0.172827
2026-06-26,cal_7114c0729a,month_sp500,calendar,inconclusive,0.016983,0.136863
2026-06-26,cal_79870937ed,world_cup_year_sp500,calendar,dead,0.013986,0.173826
2026-06-26,cal_82e1f1d8c9,pre_holiday_sp500,calendar,dead,0.073926,0.133866
2026-06-26,cal_85cc7cc6d7,dow_sp500,calendar,faded,0.000999,0.83017
2026-06-26,cal_8d5125126b,term_year3_sp500,calendar,inconclusive,0.04995,
2026-06-26,cal_8fe611a742,santa_nasdaq,calendar,faded,0.005994,0.210789
2026-06-26,cal_94c08fa012,santa_sp500,calendar,faded,0.000999,0.197802
2026-06-26,cal_bbcc723bdf,decade_digit_sp500,calendar,inconclusive,0.163836,
2026-06-26,cal_bc77212229,sell_in_may_sp500,calendar,dead,0.081918,0.270729
2026-06-26,cal_ec09c00a99,presidential_cycle_sp500,calendar,inconclusive,0.300699,
2026-06-26,fac_4beec74249,BTC_mom20_neg,factor,survive,0.005,0.005
2026-06-26,fac_70486895ee,dxy_rising,factor,dead,0.484,0.949
2026-06-26,fac_7578b1d58f,vix_backwardation,factor,dead,0.83,0.671
2026-06-26,fac_778b84a969,NASDAQ_mom20_neg,factor,dead,0.051,0.501
2026-06-26,fac_79cf4a9a7b,NASDAQ_above_ma200,factor,survive,0.006,0.064
2026-06-26,fac_a1bf6a105c,nasdaq_rsi_overbought,factor,dead,0.267,0.438
2026-06-26,fac_ab89704768,nasdaq_high_vol,factor,faded,0.005,0.97
2026-06-26,fac_bed960d3e2,NASDAQ_mom20_pos,factor,dead,0.43,0.713
2026-06-26,fac_c872e5eb69,BTC_above_ma200,factor,dead,0.171,0.132
2026-06-26,fac_cc60102eac,dxy_falling,factor,dead,0.713,0.741
2026-06-26,fac_d738a0c3fd,nasdaq_low_vol,factor,dead,0.281,0.618
2026-06-26,fac_d8a4f38258,overnight_mom_neg,factor,dead,0.277,0.394
2026-06-26,fac_dcbd9f57b5,overnight_mom_pos,factor,dead,0.277,0.394
2026-06-26,fac_e2be6309e8,nasdaq_rsi_oversold,factor,dead,0.537,0.368
2026-06-26,fac_f834dcf2c0,BTC_mom20_pos,factor,survive,0.0,0.004
2026-06-26,reb_018df927fb,p1_h5_sp500,rebound,dead,0.246,0.571
2026-06-26,reb_0b54f655e4,p10_h1_nasdaq,rebound,faded,0.0,0.386
2026-06-26,reb_183bf3c31c,p5_h1_sp500,rebound,dead,0.935,0.245
2026-06-26,reb_2617209d72,p10_h5_nasdaq,rebound,faded,0.0,0.241
2026-06-26,reb_2b218993db,p1_h5_nasdaq,rebound,dead,0.569,0.876
2026-06-26,reb_7155c924ca,p10_h1_sp500,rebound,dead,0.254,0.082
2026-06-26,reb_7e3e4a8d62,p1_h1_sp500,rebound,dead,0.233,0.504
2026-06-26,reb_8055fe6f4a,p1_h1_nasdaq,rebound,dead,0.251,0.489
2026-06-26,reb_91f1615526,p10_h5_sp500,rebound,dead,0.03,0.739
2026-06-26,reb_9adb2feef5,p5_h1_nasdaq,rebound,survive,0.0,0.08
2026-06-26,reb_b016e921c3,p5_h5_sp500,rebound,dead,0.374,0.631
2026-06-26,reb_b61bcf84d2,p5_h5_nasdaq,rebound,dead,0.042,0.066
